Coefficients
-------------
Constant: 3526.422110689
Beta1:  90.02031094293979
Beta2:  1.268990014669691
Beta3:  23.406235768005455
Beta4:  722.4606713810812

ID, Actual values, Fitted values 
 --------------------------------
1, 3900.0, 4630.072077772284
2, 4020.0, 4646.304431139903
3, 4290.0, 5315.19786511779
4, 4380.0, 4418.295986699509
5, 4380.0, 4396.539437950573
6, 4380.0, 4770.509492380316
7, 4380.0, 4840.728199684332
8, 4380.0, 4752.813711678324
9, 4440.0, 5018.7134974693345
10, 4500.0, 4382.790786299359
11, 4500.0, 5061.536241713739
12, 4620.0, 4742.872030071118
13, 4800.0, 4803.538614619505
14, 4800.0, 5152.623204756422
15, 4800.0, 4901.49956138171
16, 4800.0, 5018.530740221738
17, 4800.0, 5201.549399824588
18, 4800.0, 5351.150062548844
19, 4800.0, 5094.386043611503
20, 4800.0, 5504.5576953171085
21, 4800.0, 5113.557273361436
22, 4800.0, 5589.404485435432
23, 4980.0, 5235.2793170976165
24, 5100.0, 5140.813419984988
25, 5100.0, 5003.443019052469
26, 5100.0, 5009.223553621866
27, 5100.0, 5046.066862288118
28, 5100.0, 5179.735070325618
29, 5100.0, 5403.707686796473
30, 5160.0, 4910.382491484397
31, 5220.0, 5054.802417000985
32, 5220.0, 5446.608411139487
33, 5280.0, 4618.262293000851
34, 5280.0, 4511.0989367877655
35, 5280.0, 4999.916367021995
36, 5400.0, 5261.931886882559
37, 5400.0, 5308.3201019213875
38, 5400.0, 4897.12817583375
39, 5400.0, 5424.755262876567
40, 5400.0, 5169.824649457846
41, 5400.0, 5389.503860479351
42, 5400.0, 5453.093520219603
43, 5400.0, 4939.705641351688
44, 5400.0, 5211.463600169241
45, 5400.0, 5570.875651288059
46, 5400.0, 5432.976216709366
47, 5400.0, 5803.949336966979
48, 5520.0, 5127.66388148333
49, 5520.0, 5604.387429455712
50, 5580.0, 5476.994091988175
51, 5640.0, 4887.11641472316
52, 5700.0, 5259.218365988676
53, 5700.0, 5339.659072913433
54, 5700.0, 5339.351273637344
55, 5700.0, 5211.603759176009
56, 5700.0, 5978.365384480678
57, 6000.0, 5462.400706819473
58, 6000.0, 5280.623555968739
59, 6120.0, 5362.781211191023
60, 6300.0, 5488.839258617386
61, 6300.0, 5520.957004741877
62, 4620.0, 5858.65708545018
63, 5040.0, 5687.17201372357
64, 5100.0, 5908.638252545985
65, 5100.0, 5775.670839542322
66, 5220.0, 5693.614524562856
67, 5400.0, 5829.540394616161
68, 5400.0, 5634.8167273908675
69, 5400.0, 5542.741092347051
70, 5400.0, 5808.644657614941
71, 5400.0, 6312.223454928657
72, 5700.0, 5761.902265582315
73, 6000.0, 5866.653025436015
74, 6000.0, 5406.394745273442
75, 6000.0, 5767.640201910882
76, 6000.0, 5578.556910248217
77, 6000.0, 6172.5957345510415
78, 6000.0, 5906.380590530181
79, 6000.0, 6119.010276967619
80, 6000.0, 5935.193261564991
81, 6000.0, 6393.236136311126
82, 6000.0, 5951.125716251746
83, 6000.0, 6452.8085874972185
84, 6000.0, 6110.738140086592
85, 6000.0, 5817.165510128605
86, 6300.0, 6088.460735326488
87, 6600.0, 6054.902579441125
88, 6600.0, 6478.188387790612
89, 6600.0, 6247.154566663583
90, 6840.0, 5815.6941821990085
91, 6900.0, 5785.262123632609
92, 6900.0, 6328.443786582708
93, 8100.0, 6530.773493300795

Model Summary
-------------
R-square:  0.5108737144479975
MSE:  257476.57875034955
